"","ML1","ML3","ML7","ML2","ML5","ML6","ML4"
"I1",NA,NA,0.565,NA,NA,NA,NA
"I2",NA,NA,0.6,NA,NA,NA,NA
"I3",NA,NA,0.542,NA,NA,NA,NA
"I4",NA,NA,0.488,NA,NA,NA,NA
"I5",NA,NA,0.409,NA,NA,NA,NA
"I6",NA,NA,0.489,NA,NA,NA,NA
"I7",NA,NA,0.54,NA,NA,NA,NA
"I8",0.323,NA,NA,NA,NA,NA,NA
"I9",0.745,NA,NA,NA,NA,NA,NA
"I10_r",-0.597,NA,NA,NA,NA,NA,NA
"I11",NA,NA,0.322,NA,NA,0.402,NA
"I12",0.595,NA,0.301,NA,NA,NA,NA
"I13",0.781,NA,NA,NA,NA,NA,NA
"I14",NA,0.751,NA,NA,NA,NA,NA
"I15",NA,NA,NA,0.827,NA,NA,NA
"I16_r",NA,NA,NA,NA,0.758,NA,NA
"I17",NA,NA,NA,NA,NA,NA,0.743
"I18",NA,NA,NA,0.728,NA,NA,NA
"I19",NA,NA,NA,NA,0.501,NA,NA
"I20_r",NA,NA,NA,NA,0.805,NA,NA
"I21",NA,0.913,NA,NA,NA,NA,NA
"I22_r",NA,NA,NA,NA,0.741,NA,NA
"I23",NA,NA,NA,NA,NA,NA,0.452
"I24",NA,NA,NA,NA,NA,NA,0.876
"I25",NA,-0.813,NA,NA,NA,NA,NA
"I27",NA,0.667,NA,NA,NA,NA,NA
"I28",NA,NA,NA,0.931,NA,NA,NA
"I29",NA,0.747,NA,NA,NA,NA,NA
"I30_r",NA,NA,NA,0.668,NA,NA,NA
"I31_r",NA,NA,0.327,NA,NA,NA,NA
"I32",NA,NA,NA,NA,NA,-0.459,NA
"I33",NA,NA,NA,NA,NA,-0.677,NA
"I34_r",NA,NA,NA,NA,NA,0.5,NA
"I35_r",NA,NA,NA,NA,NA,NA,NA
"I36_r",NA,NA,NA,NA,NA,0.431,NA
"I37_r",NA,NA,-0.321,NA,NA,NA,NA
"I38_r",0.548,NA,NA,NA,NA,NA,NA
