"","ML2","ML3","ML7","ML1","ML5","ML6","ML4"
"I1",0.83,NA,NA,NA,NA,NA,NA
"I2",0.706,NA,NA,NA,NA,NA,NA
"I3",0.703,NA,NA,NA,NA,NA,NA
"I4",0.72,NA,NA,NA,NA,NA,NA
"I5",0.515,NA,NA,NA,NA,NA,NA
"I6",0.684,NA,NA,NA,NA,NA,NA
"I7",0.744,NA,NA,NA,NA,NA,NA
"I8",NA,NA,NA,0.311,NA,NA,NA
"I9",0.479,NA,NA,0.623,NA,NA,NA
"I10_r",-0.538,NA,NA,-0.472,NA,NA,NA
"I11",0.439,NA,NA,NA,NA,0.371,NA
"I12",0.619,NA,NA,0.458,NA,NA,NA
"I13",NA,NA,NA,0.734,NA,NA,NA
"I14",NA,0.779,NA,NA,NA,NA,NA
"I15",NA,NA,0.847,NA,NA,NA,NA
"I16_r",NA,NA,NA,NA,0.802,NA,NA
"I17",NA,NA,NA,NA,NA,NA,0.779
"I18",NA,NA,0.739,NA,NA,NA,NA
"I19",NA,NA,NA,NA,0.526,NA,NA
"I20_r",NA,NA,NA,NA,0.892,NA,NA
"I21",NA,0.954,NA,NA,NA,NA,NA
"I22_r",NA,NA,NA,NA,0.797,NA,NA
"I23",NA,NA,NA,NA,NA,NA,0.45
"I24",NA,NA,NA,NA,NA,NA,0.919
"I25",NA,-0.861,NA,NA,NA,NA,NA
"I27",NA,0.671,NA,NA,NA,NA,NA
"I28",NA,NA,0.959,NA,NA,NA,NA
"I29",NA,0.768,NA,NA,NA,NA,NA
"I30_r",NA,NA,0.672,NA,NA,NA,NA
"I31_r",0.475,NA,NA,NA,NA,NA,NA
"I32",-0.337,NA,NA,NA,NA,-0.448,NA
"I33",NA,NA,NA,NA,NA,-0.774,NA
"I34_r",NA,NA,NA,NA,NA,0.52,NA
"I35_r",NA,NA,NA,NA,NA,NA,NA
"I36_r",NA,NA,NA,NA,NA,0.461,NA
"I37_r",-0.439,NA,NA,NA,NA,NA,NA
"I38_r",NA,NA,NA,0.465,NA,NA,NA
