"Subscale","Item","F1","F2","F3","F4","F5","F6","F7","h2"
"PF (Psychological Function)","I1",NA,NA,NA,NA,NA,NA,0.56,"0.61"
"PF (Psychological Function)","I2",NA,NA,NA,NA,NA,NA,0.6,"0.38"
"PF (Psychological Function)","I3",NA,NA,NA,NA,NA,NA,0.54,"0.51"
"PF (Psychological Function)","I4",NA,NA,NA,NA,NA,NA,0.49,"0.55"
"PF (Psychological Function)","I5",NA,NA,NA,NA,NA,NA,0.41,"0.45"
"SF (Social Function)","I6",NA,NA,NA,NA,NA,NA,0.49,"0.46"
"SF (Social Function)","I7",NA,NA,NA,NA,NA,NA,0.54,"0.55"
"SF (Social Function)","I8",0.32,NA,NA,NA,NA,NA,NA,"0.26"
"SF (Social Function)","I9",0.74,NA,NA,NA,NA,NA,NA,"0.74"
"SF (Social Function)","I10_r",-0.6,NA,NA,NA,NA,NA,NA,"0.74"
"PhF (Physical Function)","I11",NA,NA,NA,NA,NA,0.4,0.32,"0.51"
"PhF (Physical Function)","I12",0.59,NA,NA,NA,NA,NA,0.3,"0.69"
"PhF (Physical Function)","I13",0.78,NA,NA,NA,NA,NA,NA,"0.63"
"PhF (Physical Function)","I14",NA,NA,0.75,NA,NA,NA,NA,"0.68"
"PhF (Physical Function)","I15",NA,0.83,NA,NA,NA,NA,NA,"0.79"
"LS (Life Satisfaction)","I16_r",NA,NA,NA,NA,0.76,NA,NA,"0.64"
"LS (Life Satisfaction)","I17",NA,NA,NA,0.74,NA,NA,NA,"0.63"
"LS (Life Satisfaction)","I18",NA,0.73,NA,NA,NA,NA,NA,"0.71"
"LS (Life Satisfaction)","I19",NA,NA,NA,NA,0.5,NA,NA,"0.58"
"LS (Life Satisfaction)","I20_r",NA,NA,NA,NA,0.81,NA,NA,"0.61"
"BI (Body Image)","I21",NA,NA,0.91,NA,NA,NA,NA,"0.81"
"BI (Body Image)","I22_r",NA,NA,NA,NA,0.74,NA,NA,"0.6"
"BI (Body Image)","I23",NA,NA,NA,0.45,NA,NA,NA,"0.45"
"BI (Body Image)","I24",NA,NA,NA,0.88,NA,NA,NA,"0.79"
"BI (Body Image)","I25",NA,NA,-0.81,NA,NA,NA,NA,"0.59"
"RS (Relationship Satisfaction)","I27",NA,NA,0.67,NA,NA,NA,NA,"0.69"
"RS (Relationship Satisfaction)","I28",NA,0.93,NA,NA,NA,NA,NA,"0.87"
"RS (Relationship Satisfaction)","I29",NA,NA,0.75,NA,NA,NA,NA,"0.81"
"RS (Relationship Satisfaction)","I30_r",NA,0.67,NA,NA,NA,NA,NA,"0.53"
"RS (Relationship Satisfaction)","I31_r",NA,NA,NA,NA,NA,NA,0.33,"0.47"
"RS (Relationship Satisfaction)","I32",NA,NA,NA,NA,NA,-0.46,NA,"0.59"
"GI (Gender Identity)","I33",NA,NA,NA,NA,NA,-0.68,NA,"0.58"
"GI (Gender Identity)","I34_r",NA,NA,NA,NA,NA,0.5,NA,"0.55"
"GI (Gender Identity)","I35_r",NA,NA,NA,NA,NA,NA,NA,"0.14"
"GI (Gender Identity)","I36_r",NA,NA,NA,NA,NA,0.43,NA,"0.37"
"GI (Gender Identity)","I37_r",NA,NA,NA,NA,NA,NA,-0.32,"0.22"
"GI (Gender Identity)","I38_r",0.55,NA,NA,NA,NA,NA,NA,"0.66"
"","Eigenvalue",12.63,3.3,2,1.24,0.93,0.72,0.65,""
"","% of variance",10.1,9.99,9.52,8.58,7.65,6.58,5.57,""
"","Cumulative %",10.1,20.09,29.61,38.19,45.85,52.43,58,""
