"lhs","rhs","est","std.all","pvalue"
"Chest","Chest",1,1,NA
"Chest","Intim",0.449,0.449,0
"Chest","Life",0.56,0.56,0
"Chest","Sec",0.632,0.632,0
"Gen","Chest",0.607,0.607,0
"Gen","Gen",1,1,NA
"Gen","Intim",0.539,0.539,0
"Gen","Life",0.452,0.452,0
"Gen","Psych",0.397,0.397,0
"Gen","Sec",0.597,0.597,0
"Intim","Intim",1,1,NA
"Intim","Sec",0.919,0.919,0
"Life","Intim",0.503,0.503,0
"Life","Life",1,1,NA
"Life","Sec",0.889,0.889,0
"Psych","Chest",0.367,0.367,0
"Psych","Intim",0.836,0.836,0
"Psych","Life",0.476,0.476,0
"Psych","Psych",1,1,NA
"Psych","Sec",0.787,0.787,0
"Sec","Sec",1,1,NA
"Soc","Chest",0.431,0.431,0
"Soc","Gen",0.463,0.463,0
"Soc","Intim",0.841,0.841,0
"Soc","Life",0.5,0.5,0
"Soc","Psych",0.876,0.876,0
"Soc","Sec",0.849,0.849,0
"Soc","Soc",1,1,NA
"item1","item1",0.526,0.407,0
"item10","item10",0.332,0.222,0
"item11","item11",0.877,0.593,0
"item12","item12",0.425,0.324,0
"item13","item13",0.61,0.527,0
"item14","item14",0.566,0.323,0
"item15","item15",0.355,0.218,0
"item16","item16",1.014,0.601,0
"item17","item17",1.984,0.815,0
"item18","item18",0.597,0.301,0
"item19","item19",0.801,0.387,0
"item2","item2",1.283,0.738,0
"item20","item20",0.807,0.495,0
"item21","item21",0.638,0.263,0
"item22","item22",0.786,0.459,0
"item23","item23",1.497,0.709,0
"item24","item24",1.961,0.785,0
"item25","item25",1.418,0.502,0
"item27","item27",0.692,0.326,0
"item28","item28",0.289,0.155,0
"item29","item29",0.367,0.166,0
"item3","item3",0.843,0.482,0
"item30","item30",1.138,0.484,0
"item31","item31",0.69,0.501,0
"item32","item32",0.504,0.414,0
"item33","item33",1.224,0.614,0
"item34","item34",0.594,0.497,0
"item35","item35",1.34,0.919,0
"item36","item36",0.784,0.716,0
"item37","item37",1.213,0.839,0
"item38","item38",0.649,0.477,0
"item4","item4",0.707,0.457,0
"item5","item5",1.55,0.596,0
"item6","item6",0.597,0.548,0
"item7","item7",0.946,0.45,0
"item8","item8",0.514,0.848,0
"item9","item9",0.484,0.309,0
