"lhs","rhs","est","std.all","pvalue"
"Chest","item15",1.127,0.884,0
"Chest","item18",1.177,0.836,0
"Chest","item28",1.255,0.919,0
"Chest","item30",1.101,0.718,0
"Gen","item14",1.089,0.823,0
"Gen","item21",1.337,0.858,0
"Gen","item25",-1.187,-0.706,0
"Gen","item27",1.196,0.821,0
"Gen","item29",1.356,0.913,0
"Intim","item31",0.828,0.706,0
"Intim","item32",-0.845,-0.766,0
"Intim","item33",-0.876,-0.621,0
"Intim","item34",0.775,0.709,0
"Life","item19",1.127,0.783,0
"Life","item20",0.908,0.711,0
"Life","item22",0.963,0.736,0
"Psych","item1",0.876,0.77,0
"Psych","item2",0.674,0.512,0
"Psych","item3",0.951,0.72,0
"Psych","item4",0.916,0.737,0
"Psych","item5",1.024,0.635,0
"Psych","item6",0.702,0.672,0
"Psych","item7",1.075,0.741,0
"Sec","item16",0.82,0.631,0
"Sec","item17",0.671,0.43,0
"Sec","item23",0.784,0.539,0
"Sec","item24",0.732,0.463,0
"Sec","item35",-0.343,-0.284,0
"Sec","item36",0.558,0.533,0
"Sec","item37",-0.482,-0.401,0
"Sec","item38",0.844,0.723,0
"Soc","item10",-1.079,-0.882,0
"Soc","item11",0.775,0.638,0
"Soc","item12",0.941,0.822,0
"Soc","item13",0.74,0.688,0
"Soc","item8",0.303,0.389,0
"Soc","item9",1.041,0.832,0
