"Item","ML1","ML2","ML3","ML4","ML5","ML6","ML7"
"I1",0.03,0.445,-0.055,0.047,0.019,-0.11,0.375
"I2",-0.116,0.031,0.064,-0.096,0.262,-0.091,0.482
"I3",0.014,0.167,0.132,0.027,0.068,-0.12,0.52
"I4",-0.02,0.409,0.096,-0.097,0.131,-0.082,0.363
"I5",0.182,0.089,-0.088,0.11,0.036,0.037,0.501
"I6",0.002,0.291,0.105,-0.004,0.043,-0.096,0.399
"I7",-0.02,0.306,-0.038,0.06,0.156,-0.108,0.431
"I8",0.156,0.316,0.162,0.107,0.025,0.004,-0.149
"I9",0.006,0.823,0.031,0.011,-0.037,0.007,0.039
"I10",-0.028,-0.719,-0.039,-0.031,-0.034,-0.034,-0.141
"I11",0.018,0.153,0.065,0.104,-0.06,0.079,0.55
"I12",0.038,0.747,-0.124,0.012,0.103,-0.028,0.115
"I13",-0.014,0.768,0.145,0.049,0.011,0.062,-0.186
"I14",0.71,0.015,0.101,0.055,0.065,0.056,0.006
"I15",0.064,0.042,0.837,0.016,-0.019,0.056,-0.032
"I16",-0.018,-0.009,0.004,0.768,0.035,-0.007,0.066
"I17",-0.012,-0.047,0.149,-0.012,0.738,-0.009,0.015
"I18",0.068,0.053,0.731,0.077,0.112,-0.111,-0.123
"I19",0.073,0.145,0.044,0.514,0.244,0.071,-0.083
"I20",-0.01,-0.048,0.031,0.801,-0.031,-0.004,-0.049
"I21",0.876,0.086,0.048,-0.034,0.04,-0.002,-0.099
"I22",-0.017,0.033,0.021,0.748,0.019,-0.066,0.016
"I23",0.036,0.022,-0.021,0.291,0.461,0.138,0.041
"I24",0.045,0.001,-0.014,0.044,0.847,0.011,-0.023
"I25",-0.875,0.035,0.054,-0.049,0.004,0.275,-0.032
"I26",-0.171,0.122,-0.097,-0.09,0.11,0.57,-0.086
"I27",0.602,0.055,0.022,0.036,0.107,0.372,0.137
"I28",-0.013,-0.071,0.93,0.019,0.015,0.007,0.093
"I29",0.681,0.006,0.224,0.007,-0.041,0.278,0.096
"I30",-0.023,0.114,0.66,-0.01,0.072,-0.072,0.029
"I31",0.023,0.256,0.081,0.145,0.042,-0.016,0.37
"I32",-0.012,-0.178,-0.102,-0.205,0.04,-0.035,-0.491
"I33",-0.225,-0.03,-0.043,-0.009,-0.031,-0.283,-0.413
"I34",0.12,0.276,0.02,0.041,-0.06,0.111,0.411
"I35",-0.004,0.069,0.061,-0.122,-0.061,-0.141,-0.328
"I36",0.014,0.051,0.061,0.24,0.012,0.109,0.365
"I37",-0.056,-0.164,-0.015,-0.049,-0.016,0.058,-0.299
"I38",0.13,0.604,0.056,0.106,-0.068,0.071,0.125
